Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
GBP,10000.0,2018-08-04T00:00:00Z,BHD,4888.5020827277
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,KZT,4541822.352431221
GBP,10000.0,2018-08-04T00:00:00Z,SZL,173157.9443009872
GBP,10000.0,2018-08-04T00:00:00Z,YER,3253064.893075914
GBP,10000.0,2018-08-04T00:00:00Z,AFN,938176.417283145
GBP,10000.0,2018-08-04T00:00:00Z,AWG,23272.3902342621
GBP,10000.0,2018-08-04T00:00:00Z,NPR,1431975.5689198303
GBP,10000.0,2018-08-04T00:00:00Z,MNT,3.1847194747379508E7
GBP,10000.0,2018-08-04T00:00:00Z,GBP,10000.0
GBP,10000.0,2018-08-04T00:00:00Z,BYN,26197.540051832
GBP,10000.0,2018-08-04T00:00:00Z,HUF,3597320.5769085805
GBP,10000.0,2018-08-04T00:00:00Z,BYN,26197.540051832
GBP,10000.0,2018-08-04T00:00:00Z,BIF,2.3129444570416164E7
GBP,10000.0,2018-08-04T00:00:00Z,XDR,9310.2636392987
GBP,10000.0,2018-08-04T00:00:00Z,BZD,26151.7685608856
GBP,10000.0,2018-08-04T00:00:00Z,MOP,105109.9093111663
GBP,10000.0,2018-08-04T00:00:00Z,NAD,173157.9443009872
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,TMT,45634.347311088
GBP,10000.0,2018-08-04T00:00:00Z,PEN,42487.4078493988
GBP,10000.0,2018-08-04T00:00:00Z,WST,33971.2370856905
GBP,10000.0,2018-08-04T00:00:00Z,TMT,45634.347311088
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,GTQ,97486.1857665049
GBP,10000.0,2018-08-04T00:00:00Z,CLP,8372557.137474342
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,TND,35259.6539631499
GBP,10000.0,2018-08-04T00:00:00Z,SLL,1.0334013982943493E8
GBP,10000.0,2018-08-04T00:00:00Z,DOP,646372.0802956481
GBP,10000.0,2018-08-04T00:00:00Z,KMF,5523476.059991311
GBP,10000.0,2018-08-04T00:00:00Z,GEL,31813.0808988325
GBP,10000.0,2018-08-04T00:00:00Z,MAD,123268.38185246
GBP,10000.0,2018-08-04T00:00:00Z,AZN,22102.3248295115
GBP,10000.0,2018-08-04T00:00:00Z,TOP,30260.9342251123
GBP,10000.0,2018-08-04T00:00:00Z,AZN,22102.3248295115
GBP,10000.0,2018-08-04T00:00:00Z,PGK,42438.7809960871
GBP,10000.0,2018-08-04T00:00:00Z,CNH,89012.2897352019
GBP,10000.0,2018-08-04T00:00:00Z,UAH,352670.7484816578
GBP,10000.0,2018-08-04T00:00:00Z,ERN,195020.029896051
GBP,10000.0,2018-08-04T00:00:00Z,MRO,4627940.446514359
GBP,10000.0,2018-08-04T00:00:00Z,CNY,88792.6601082313
GBP,10000.0,2018-08-04T00:00:00Z,MRU,462794.0446514358
GBP,10000.0,2018-08-04T00:00:00Z,BMD,13001.3353264034
GBP,10000.0,2018-08-04T00:00:00Z,PHP,690135.2095513941
GBP,10000.0,2018-08-04T00:00:00Z,PYG,7.46470884817913E7
GBP,10000.0,2018-08-04T00:00:00Z,JMD,1746092.5124673608
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,COP,3.759587556217674E7
GBP,10000.0,2018-08-04T00:00:00Z,USD,13001.3353264034
GBP,10000.0,2018-08-04T00:00:00Z,GGP,10000.0
GBP,10000.0,2018-08-04T00:00:00Z,ETB,358802.4571483373
GBP,10000.0,2018-08-04T00:00:00Z,VEF,129850.836572454
GBP,10000.0,2018-08-04T00:00:00Z,SOS,7524521.512832695
GBP,10000.0,2018-08-04T00:00:00Z,VEF,129850.836572454
GBP,10000.0,2018-08-04T00:00:00Z,VUV,1424141.516491603
GBP,10000.0,2018-08-04T00:00:00Z,LAK,1.0995441873490216E8
GBP,10000.0,2018-08-04T00:00:00Z,BND,17762.7281389683
GBP,10000.0,2018-08-04T00:00:00Z,ZMW,129778.9820509012
GBP,10000.0,2018-08-04T00:00:00Z,LRD,1969826.8052022539
GBP,10000.0,2018-08-04T00:00:00Z,ALL,1412629.9596493787
GBP,10000.0,2018-08-04T00:00:00Z,GHS,62081.2313929052
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,ZMW,129778.9820509012
GBP,10000.0,2018-08-04T00:00:00Z,SPL,2166.8892123997
GBP,10000.0,2018-08-04T00:00:00Z,TRY,66056.770966915
GBP,10000.0,2018-08-04T00:00:00Z,ILS,47958.7854799872
GBP,10000.0,2018-08-04T00:00:00Z,GHS,62081.2313929052
GBP,10000.0,2018-08-04T00:00:00Z,GYD,2721810.8229715973
GBP,10000.0,2018-08-04T00:00:00Z,KPW,1.1701827409140354E7
GBP,10000.0,2018-08-04T00:00:00Z,BOB,89785.5056762879
GBP,10000.0,2018-08-04T00:00:00Z,MDL,215195.8958257067
GBP,10000.0,2018-08-04T00:00:00Z,AMD,6257278.79704767
GBP,10000.0,2018-08-04T00:00:00Z,TRY,66056.770966915
GBP,10000.0,2018-08-04T00:00:00Z,LBP,1.9599513004553124E7
GBP,10000.0,2018-08-04T00:00:00Z,JOD,9217.94674642
GBP,10000.0,2018-08-04T00:00:00Z,HKD,102048.4556419091
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,LSL,173157.9443009872
GBP,10000.0,2018-08-04T00:00:00Z,CAD,16901.7163237193
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,MUR,448586.4024030592
GBP,10000.0,2018-08-04T00:00:00Z,IMP,10000.0
GBP,10000.0,2018-08-04T00:00:00Z,RON,51905.0274460915
GBP,10000.0,2018-08-04T00:00:00Z,GIP,10000.0
GBP,10000.0,2018-08-04T00:00:00Z,RON,51905.0274460915
GBP,10000.0,2018-08-04T00:00:00Z,NGN,4686753.683935446
GBP,10000.0,2018-08-04T00:00:00Z,CRC,7376508.7638994455
GBP,10000.0,2018-08-04T00:00:00Z,PKR,1612665.99987633
GBP,10000.0,2018-08-04T00:00:00Z,ANG,23985.4152960315
GBP,10000.0,2018-08-04T00:00:00Z,SRD,96853.6151090553
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,SAR,48755.0074740127
GBP,10000.0,2018-08-04T00:00:00Z,TTD,87541.2717722573
GBP,10000.0,2018-08-04T00:00:00Z,MVR,201153.6334397474
GBP,10000.0,2018-08-04T00:00:00Z,SRD,96853.6151090553
GBP,10000.0,2018-08-04T00:00:00Z,INR,890809.0630916519
GBP,10000.0,2018-08-04T00:00:00Z,KRW,1.4590617890289607E7
GBP,10000.0,2018-08-04T00:00:00Z,JPY,1446480.485037597
GBP,10000.0,2018-08-04T00:00:00Z,AOA,3368763.8699723147
GBP,10000.0,2018-08-04T00:00:00Z,PLN,47840.4881085623
GBP,10000.0,2018-08-04T00:00:00Z,SBD,102370.4190115937
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,MWK,9433372.407135148
GBP,10000.0,2018-08-04T00:00:00Z,MGA,4.258460360862343E7
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,EUR,11227.3132944005
GBP,10000.0,2018-08-04T00:00:00Z,MGA,4.258460360862343E7
GBP,10000.0,2018-08-04T00:00:00Z,BAM,21958.7161605874
GBP,10000.0,2018-08-04T00:00:00Z,EGP,232211.4216457346
GBP,10000.0,2018-08-04T00:00:00Z,NIO,412488.8994285633
GBP,10000.0,2018-08-04T00:00:00Z,NZD,19273.1119736568
GBP,10000.0,2018-08-04T00:00:00Z,BRL,48199.2472950266
