0,1,2,3,4,5,6,7,8,9
PayPal in EUR,"8.923,00 €",Belgium,yyy,USD,EUR,8923.0,"8,515.37",0.04786991052649493,0.0
Online Bank Transfer,"8.753,00 €",Belgium,yyy,USD,EUR,8753.0,"8,515.37",0.02790600995611455,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Belgium,yyy,USD,USD,10030.0,10000,0.0,30.0
Debit/Credit Card in BTN,"761,420.00 Nu",Bhutan,yyy,USD,BTN,761420.0,"722,582.61",0.05374802750926986,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,yyy,USD,USD,10000.0,10000,0.0,0.0
Mastercard: Debit/Credit in BOB,"Bs72,694.00",Bolivia,yyy,USD,BOB,72694.0,"68,986.43",0.05374346809945097,0.0
VISA: Debit/Credit in BOB,"Bs72,694.00",Bolivia,yyy,USD,BOB,72694.0,"68,986.43",0.05374346809945097,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bolivia,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BAM,"17,542.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,17542.0,"16,651.80",0.053459686039947676,0.0
MasterCard: Debit/Credit in BAM,"17,542.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,17542.0,"16,651.80",0.053459686039947676,0.0
International Bank Transfer in Euros (EUR),"8.752,00 €",Bosnia and Herzegovina,yyy,USD,EUR,8752.0,"8,515.37",0.02778857524687702,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,yyy,USD,USD,10000.0,10000,0.0,0.0
Mastercard: Debit/Credit in BWP,"P112,100.00",Botswana,yyy,USD,BWP,112100.0,"106,296.15",0.05460075458988878,0.0
VISA: Debit/Credit in BWP,"P112,100.00",Botswana,yyy,USD,BWP,112100.0,"106,296.15",0.05460075458988878,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,532.00",Botswana,yyy,USD,ZAR,147532.0,"143,268.08",0.02976182831514189,0.0
International Bank Transfer in British Pounds (GBP),"£7,867.00",Botswana,yyy,USD,GBP,7867.0,"7,652.35",0.02805020679921849,0.0
Boleto,"R$45.003,00",Brazil,yyy,USD,BRL,45003.0,"40,506.17",0.11101592670943715,0.0
Cartão de Crédito/Débito em Reais,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,506.17",0.1298278756051239,0.0
Pagamento com Débito em Conta,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,506.17",0.1298278756051239,0.0
Pagamento Parcelado via Cartão de Crédito em Reais,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,506.17",0.1298278756051239,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Brazil,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.755,00 €",Brazil,yyy,USD,EUR,8755.0,"8,515.37",0.028140879374589617,0.0
International Bank Transfer in British Pounds (GBP),"£7,869.00",Brazil,yyy,USD,GBP,7869.0,"7,650.31",0.02858576972697833,0.0
MasterCard: Debit/Credit in BND,"$14,400.00",Brunei Darussalam,yyy,USD,BND,14400.0,"13,645.16",0.05531924872995261,0.0
VISA: Debit/Credit in BND,"$14,400.00",Brunei Darussalam,yyy,USD,BND,14400.0,"13,645.16",0.05531924872995261,0.0
MasterCard: Debit/Credit in SGD,"S$14,309.00",Brunei Darussalam,yyy,USD,SGD,14309.0,"13,642.40",0.04886237025743274,0.0
VISA: Debit/Credit in SGD,"S$14,309.00",Brunei Darussalam,yyy,USD,SGD,14309.0,"13,642.40",0.04886237025743274,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BGN,"??17,544.00",Bulgaria,yyy,USD,BGN,17544.0,"16,647.58",0.05384686543029066,0.0
