0,1,2,3,4,5,6,7,8,9
MasterCard: Debit/Credit in BDT,"?683,780.00",Bangladesh,yyy,USD,BDT,683780.0,"838,773.51",-0.18478589053199834,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bangladesh,yyy,USD,CAD,10000.0,"12,922.94",-0.22618227740746305,0.0
International Bank Transfer in US Dollars (USD),"$7,877.00",Bangladesh,yyy,USD,USD,7877.0,10000,0.0,-2123.0
VISA: Debit/Credit in BBD,"16,309.00 $",Barbados,yyy,USD,BBD,16309.0,"20,000.00",-0.18455,0.0
MasterCard: Debit/Credit in BBD,"16,309.00 $",Barbados,yyy,USD,BBD,16309.0,"20,000.00",-0.18455,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Barbados,yyy,USD,CAD,10000.0,"12,922.94",-0.22618227740746305,0.0
International Bank Transfer in US Dollars (USD),"$7,876.00",Barbados,yyy,USD,USD,7876.0,10000,0.0,-2124.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Belarus,yyy,USD,CAD,10000.0,"12,922.94",-0.22618227740746305,0.0
International Bank Transfer in US Dollars (USD),"$7,876.00",Belarus,yyy,USD,USD,7876.0,10000,0.0,-2124.0
Domestic Bank Transfer in Euros (EUR),"6.773,00 €",Belgium,yyy,USD,EUR,6773.0,"8,513.67",-0.20445589269962308,0.0
VISA: Debit/Credit in EUR,"6.838,00 €",Belgium,yyy,USD,EUR,6838.0,"8,513.67",-0.19682111239923558,0.0
MasterCard: Debit/Credit in EUR,"6.838,00 €",Belgium,yyy,USD,EUR,6838.0,"8,513.67",-0.19682111239923558,0.0
American Express in EUR,"6.838,00 €",Belgium,yyy,USD,EUR,6838.0,"8,513.67",-0.19682111239923558,0.0
PayPal in EUR,"6.904,00 €",Belgium,yyy,USD,EUR,6904.0,"8,513.67",-0.1890688739403806,0.0
Online Bank Transfer,"6.773,00 €",Belgium,yyy,USD,EUR,6773.0,"8,513.67",-0.20445589269962308,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Belgium,yyy,USD,CAD,10000.0,"12,919.54",-0.2259786339142106,0.0
International Bank Transfer in US Dollars (USD),"$7,876.00",Belgium,yyy,USD,USD,7876.0,10000,0.0,-2124.0
Debit/Credit Card in BTN,"589,420.00 Nu",Bhutan,yyy,USD,BTN,589420.0,"722,729.64",-0.18445298576657243,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bhutan,yyy,USD,CAD,10000.0,"12,919.54",-0.2259786339142106,0.0
International Bank Transfer in US Dollars (USD),"$7,876.00",Bhutan,yyy,USD,USD,7876.0,10000,0.0,-2124.0
Mastercard: Debit/Credit in BOB,"Bs56,222.00",Bolivia,yyy,USD,BOB,56222.0,"68,969.79",-0.18483150376418422,0.0
VISA: Debit/Credit in BOB,"Bs56,222.00",Bolivia,yyy,USD,BOB,56222.0,"68,969.79",-0.18483150376418422,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bolivia,yyy,USD,CAD,10000.0,"12,917.81",-0.22587497416357724,0.0
International Bank Transfer in US Dollars (USD),"$7,879.00",Bolivia,yyy,USD,USD,7879.0,10000,0.0,-2121.0
VISA: Debit/Credit in USD,"$8,114.00",Bolivia,yyy,USD,USD,8114.0,10000,0.0,-1886.0
MasterCard: Debit/Credit in USD,"$8,114.00",Bolivia,yyy,USD,USD,8114.0,10000,0.0,-1886.0
VISA: Debit/Credit in BAM,"13,579.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,13579.0,"16,653.23",-0.18460262663759522,0.0
MasterCard: Debit/Credit in BAM,"13,579.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,13579.0,"16,653.23",-0.18460262663759522,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bosnia and Herzegovina,yyy,USD,CAD,10000.0,"12,917.81",-0.22587497416357724,0.0
International Bank Transfer in US Dollars (USD),"$7,880.00",Bosnia and Herzegovina,yyy,USD,USD,7880.0,10000,0.0,-2120.0
VISA: Debit/Credit in BWP,"P86,800.00",Botswana,yyy,USD,BWP,86800.0,"106,343.91",-0.18378024656042835,0.0
Mastercard: Debit/Credit in BWP,"P86,800.00",Botswana,yyy,USD,BWP,86800.0,"106,343.91",-0.18378024656042835,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Botswana,yyy,USD,CAD,10000.0,"12,920.00",-0.2260061919504644,0.0
International Bank Transfer in US Dollars (USD),"$7,880.00",Botswana,yyy,USD,USD,7880.0,10000,0.0,-2120.0
International Bank Transfer in South African Rand (ZAR),"R114,193.00",Botswana,yyy,USD,ZAR,114193.0,"143,310.07",-0.2031753246649032,0.0
International Bank Transfer in British Pounds (GBP),"£6,090.00",Botswana,yyy,USD,GBP,6090.0,"7,653.77",-0.2043136911613493,0.0
Cartão de Crédito/Débito em Reais,"R$35.404,00",Brazil,yyy,USD,BRL,35404.0,"40,518.59",-0.12622823252240506,0.0
Boleto,"R$34.814,00",Brazil,yyy,USD,BRL,34814.0,"40,518.59",-0.14078944997839257,0.0
Pagamento com Débito em Conta,"R$35.404,00",Brazil,yyy,USD,BRL,35404.0,"40,518.59",-0.12622823252240506,0.0
Pagamento Parcelado via Cartão de Crédito em Reais,"R$35.404,00",Brazil,yyy,USD,BRL,35404.0,"40,518.59",-0.12622823252240506,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Brazil,yyy,USD,CAD,10000.0,"12,918.90",-0.22594028903389604,0.0
International Bank Transfer in US Dollars (USD),"$7,876.00",Brazil,yyy,USD,USD,7876.0,10000,0.0,-2124.0
International Bank Transfer in Euros (EUR),"6.775,00 €",Brazil,yyy,USD,EUR,6775.0,"8,513.67",-0.20422097638268807,0.0
International Bank Transfer in British Pounds (GBP),"£6,066.00",Brazil,yyy,USD,GBP,6066.0,"7,647.53",-0.20680271930937175,0.0
VISA: Debit/Credit in USD,"$8,111.00",Brazil,yyy,USD,USD,8111.0,10000,0.0,-1889.0
MasterCard: Debit/Credit in USD,"$8,111.00",Brazil,yyy,USD,USD,8111.0,10000,0.0,-1889.0
VISA: Debit/Credit in BND,"$11,200.00",Brunei Darussalam,yyy,USD,BND,11200.0,"13,646.33",-0.1792665134142293,0.0
MasterCard: Debit/Credit in BND,"$11,200.00",Brunei Darussalam,yyy,USD,BND,11200.0,"13,646.33",-0.1792665134142293,0.0
MasterCard: Debit/Credit in SGD,"S$11,079.00",Brunei Darussalam,yyy,USD,SGD,11079.0,"13,646.33",-0.18813336626037916,0.0
VISA: Debit/Credit in SGD,"S$11,079.00",Brunei Darussalam,yyy,USD,SGD,11079.0,"13,646.33",-0.18813336626037916,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Brunei Darussalam,yyy,USD,CAD,10000.0,"12,917.48",-0.22585519776303115,0.0
International Bank Transfer in US Dollars (USD),"$7,879.00",Brunei Darussalam,yyy,USD,USD,7879.0,10000,0.0,-2121.0
VISA: Debit/Credit in BGN,"??13,585.00",Bulgaria,yyy,USD,BGN,13585.0,"16,652.67",-0.1842149036761071,0.0
MasterCard: Debit/Credit in BGN,"??13,585.00",Bulgaria,yyy,USD,BGN,13585.0,"16,652.67",-0.1842149036761071,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bulgaria,yyy,USD,CAD,10000.0,"12,917.48",-0.22585519776303115,0.0
International Bank Transfer in US Dollars (USD),"$7,880.00",Bulgaria,yyy,USD,USD,7880.0,10000,0.0,-2120.0
International Bank Transfer in British Pounds (GBP),"£6,064.00",Bulgaria,yyy,USD,GBP,6064.0,"7,647.27",-0.20703728258581172,0.0
International Bank Transfer in Euros (EUR),"6.778,00 €",Bulgaria,yyy,USD,EUR,6778.0,"8,513.67",-0.2038686019072856,0.0
American Express in EUR,"6.844,00 €",Bulgaria,yyy,USD,EUR,6844.0,"8,513.67",-0.1961163634484306,0.0
Debit/Credit Card in BIF,"14,526,000.00 FBu",Burundi,yyy,USD,BIF,14526000.0,"17,721,390.54",-0.1803126302525467,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Burundi,yyy,USD,CAD,10000.0,"12,923.65",-0.2262247894364208,0.0
International Bank Transfer in US Dollars (USD),"$7,880.00",Burundi,yyy,USD,USD,7880.0,10000,0.0,-2120.0
Debit/Credit Card in KHR,"33,462,000.00 ?",Cambodia,yyy,USD,KHR,33462000.0,"41,017,765.46",-0.18420714476434086,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Cambodia,yyy,USD,CAD,10000.0,"12,919.91",-0.22600080031517247,0.0
International Bank Transfer in US Dollars (USD),"$7,880.00",Cambodia,yyy,USD,USD,7880.0,10000,0.0,-2120.0
MasterCard: Debit/Credit in XAF,"4,555,500.00 Fr",Cameroon,yyy,USD,XAF,4555500.0,"5,585,452.12",-0.1843990598920397,0.0
VISA: Debit/Credit in XAF,"4,555,500.00 Fr",Cameroon,yyy,USD,XAF,4555500.0,"5,585,452.12",-0.1843990598920397,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Cameroon,yyy,USD,CAD,10000.0,"12,919.91",-0.22600080031517247,0.0
International Bank Transfer in US Dollars (USD),"$7,878.00",Cameroon,yyy,USD,USD,7878.0,10000,0.0,-2122.0
MasterCard: Debit/Credit in XAF,"4,555,500.00 Fr",Canada,yyy,USD,XAF,4555500.0,"5,585,452.12",-0.1843990598920397,0.0
VISA: Debit/Credit in XAF,"4,555,500.00 Fr",Canada,yyy,USD,XAF,4555500.0,"5,585,452.12",-0.1843990598920397,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Canada,yyy,USD,CAD,10000.0,"12,919.91",-0.22600080031517247,0.0
International Bank Transfer in US Dollars (USD),"$7,878.00",Canada,yyy,USD,USD,7878.0,10000,0.0,-2122.0
VISA: Debit/Credit in XAF,"4,555,500.00 Fr",Central African Republic,yyy,USD,XAF,4555500.0,"5,584,431.22",-0.1842499584048955,0.0
MasterCard: Debit/Credit in XAF,"4,555,500.00 Fr",Central African Republic,yyy,USD,XAF,4555500.0,"5,584,431.22",-0.1842499584048955,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Central African Republic,yyy,USD,CAD,10000.0,"12,918.00",-0.22588636011766527,0.0
International Bank Transfer in US Dollars (USD),"$7,878.00",Central African Republic,yyy,USD,USD,7878.0,10000,0.0,-2122.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Chad,yyy,USD,CAD,10000.0,"12,918.00",-0.22588636011766527,0.0
International Bank Transfer in US Dollars (USD),"$7,878.00",Chad,yyy,USD,USD,7878.0,10000,0.0,-2122.0
VISA: Debit/Credit in CLP,$5.439.000,Chile,yyy,USD,CLP,5439000.0,"6,667,687.95",-0.18427496295773713,0.0
MasterCard: Debit/Credit in CLP,$5.439.000,Chile,yyy,USD,CLP,5439000.0,"6,667,687.95",-0.18427496295773713,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Chile,yyy,USD,CAD,10000.0,"12,923.92",-0.22624095475676112,0.0
International Bank Transfer in US Dollars (USD),"$7,878.00",Chile,yyy,USD,USD,7878.0,10000,0.0,-2122.0
VISA: Debit/Credit in USD,"$8,114.00",Chile,yyy,USD,USD,8114.0,10000,0.0,-1886.0
MasterCard: Debit/Credit in USD,"$8,114.00",Chile,yyy,USD,USD,8114.0,10000,0.0,-1886.0
??????????-Domestic RMB Transfer ????????????,"CNY53,974.00",China,yyy,USD,CNY,53974.0,"68,597.87",-0.21318256674733482,0.0
???-Alipay,"CNY53,974.00",China,yyy,USD,CNY,53974.0,"68,597.87",-0.21318256674733482,0.0
????-UnionPay,"CNY53,974.00",China,yyy,USD,CNY,53974.0,"68,597.87",-0.21318256674733482,0.0
????-mastercard?????,"CNY56,018.00",China,yyy,USD,CNY,56018.0,"68,597.87",-0.18338572320102645,0.0
???-VISA?????,"CNY56,018.00",China,yyy,USD,CNY,56018.0,"68,597.87",-0.18338572320102645,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",China,yyy,USD,CAD,10000.0,"12,920.04",-0.22600858820870529,0.0
MasterCard in USD,"$8,111.00",China,yyy,USD,USD,8111.0,10000,0.0,-1889.0
VISA in USD,"$8,111.00",China,yyy,USD,USD,8111.0,10000,0.0,-1889.0
International Bank Transfer in US Dollars (USD),"$7,876.00",China,yyy,USD,USD,7876.0,10000,0.0,-2124.0
Debit/Credit Card in COP,"COL$24.476.000,00",Colombia,yyy,USD,COP,24476000.0,"30,009,260.03",-0.18438508728533953,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Colombia,yyy,USD,CAD,10000.0,"12,920.04",-0.22600858820870529,0.0
MasterCard: Debit/Credit in USD,"$8,114.00",Colombia,yyy,USD,USD,8114.0,10000,0.0,-1886.0
VISA: Debit/Credit in USD,"$8,114.00",Colombia,yyy,USD,USD,8114.0,10000,0.0,-1886.0
International Bank Transfer in US Dollars (USD),"$7,878.00",Colombia,yyy,USD,USD,7878.0,10000,0.0,-2122.0
VISA: Debit/Credit in XAF,"4,555,200.00 Fr",Congo,yyy,USD,XAF,4555200.0,"5,584,224.26",-0.18427344821570613,0.0
MasterCard: Debit/Credit in XAF,"4,555,200.00 Fr",Congo,yyy,USD,XAF,4555200.0,"5,584,224.26",-0.18427344821570613,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Congo,yyy,USD,CAD,10000.0,"12,918.06",-0.22588995561253003,0.0
International Bank Transfer in US Dollars (USD),"$7,878.00",Congo,yyy,USD,USD,7878.0,10000,0.0,-2122.0
International Bank Transfer in South African Rand (ZAR),"R114,241.00",Congo,yyy,USD,ZAR,114241.0,"143,250.45",-0.2025086134109876,0.0
VISA: Debit/Credit in CRC,"?4.790.700,00",Costa Rica,yyy,USD,CRC,4790700.0,"5,785,507.83",-0.17194822982375949,0.0
MasterCard: Debit/Credit in CRC,"?4.790.700,00",Costa Rica,yyy,USD,CRC,4790700.0,"5,785,507.83",-0.17194822982375949,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Costa Rica,yyy,USD,CAD,10000.0,"12,918.06",-0.22588995561253003,0.0
International Bank Transfer in US Dollars (USD),"$7,878.00",Costa Rica,yyy,USD,USD,7878.0,10000,0.0,-2122.0
VISA: Debit/Credit in USD,"$8,114.00",Costa Rica,yyy,USD,USD,8114.0,10000,0.0,-1886.0
MasterCard: Debit/Credit in USD,"$8,114.00",Costa Rica,yyy,USD,USD,8114.0,10000,0.0,-1886.0
Bank Transfer in Croatian Kuna (HRK),"kn50.580,00",Croatia,yyy,USD,HRK,50580.0,"63,202.72",-0.1997179868208204,0.0
VISA,"kn51.566,00",Croatia,yyy,USD,HRK,51566.0,"63,202.72",-0.18411739241602262,0.0
MasterCard,"kn51.566,00",Croatia,yyy,USD,HRK,51566.0,"63,202.72",-0.18411739241602262,0.0
Online Bank Transfer,"kn50.580,00",Croatia,yyy,USD,HRK,50580.0,"63,202.72",-0.1997179868208204,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Croatia,yyy,USD,CAD,10000.0,"12,921.75",-0.2261110143749879,0.0
International Bank Transfer in US Dollars (USD),"$7,879.00",Croatia,yyy,USD,USD,7879.0,10000,0.0,-2121.0
American Express in EUR,"6.842,00 €",Croatia,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
International Bank Transfer in British Pounds (GBP),"£6,064.00",Croatia,yyy,USD,GBP,6064.0,"7,651.39",-0.20746426466302204,0.0
Domestic Bank Transfer in Euros (EUR),"6.776,00 €",Cyprus,yyy,USD,EUR,6776.0,"8,513.67",-0.20410351822422057,0.0
VISA: Debit/Credit in EUR,"6.842,00 €",Cyprus,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
MasterCard: Debit/Credit in EUR,"6.842,00 €",Cyprus,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
American Express in EUR,"6.842,00 €",Cyprus,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
PayPal in EUR,"6.908,00 €",Cyprus,yyy,USD,EUR,6908.0,"8,513.67",-0.1885990413065106,0.0
Online Bank Transfer,"6.776,00 €",Cyprus,yyy,USD,EUR,6776.0,"8,513.67",-0.20410351822422057,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Cyprus,yyy,USD,CAD,10000.0,"12,921.75",-0.2261110143749879,0.0
International Bank Transfer in US Dollars (USD),"$7,877.00",Cyprus,yyy,USD,USD,7877.0,10000,0.0,-2123.0
Bank Transfer from a Czech Koruna (CZK) Account,"K?173.894,00",Czech Republic,yyy,USD,CZK,173894.0,"217,959.49",-0.20217284413722933,0.0
VISA: Debit/Credit in CZK,"K?177.742,00",Czech Republic,yyy,USD,CZK,177742.0,"217,959.49",-0.18451818730168618,0.0
MasterCard: Debit/Credit in CZK,"K?177.742,00",Czech Republic,yyy,USD,CZK,177742.0,"217,959.49",-0.18451818730168618,0.0
Online Bank Transfer,"K?173.894,00",Czech Republic,yyy,USD,CZK,173894.0,"217,959.49",-0.20217284413722933,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Czech Republic,yyy,USD,CAD,10000.0,"12,921.75",-0.2261110143749879,0.0
International Bank Transfer in US Dollars (USD),"$7,877.00",Czech Republic,yyy,USD,USD,7877.0,10000,0.0,-2123.0
International Bank Transfer in Euros (EUR),"6.776,00 €",Czech Republic,yyy,USD,EUR,6776.0,"8,513.67",-0.20410351822422057,0.0
American Express in EUR,"6.842,00 €",Czech Republic,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
International Bank Transfer in British Pounds (GBP),"£6,065.00",Czech Republic,yyy,USD,GBP,6065.0,"7,651.39",-0.20733356945600737,0.0
Domestic Bank Transfer in Danish Krone (DKK),"50.548,00 kr",Denmark,yyy,USD,DKK,50548.0,"63,502.56",-0.20400059462169712,0.0
VISA: Debit/Credit in DKK,"51.036,00 kr",Denmark,yyy,USD,DKK,51036.0,"63,502.56",-0.19631586506118806,0.0
MasterCard: Debit/Credit in DKK,"51.036,00 kr",Denmark,yyy,USD,DKK,51036.0,"63,502.56",-0.19631586506118806,0.0
Online Bank Transfer,"50.548,00 kr",Denmark,yyy,USD,DKK,50548.0,"63,502.56",-0.20400059462169712,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Denmark,yyy,USD,CAD,10000.0,"12,918.94",-0.22594268570022003,0.0
International Bank Transfer in US Dollars (USD),"$7,877.00",Denmark,yyy,USD,USD,7877.0,10000,0.0,-2123.0
American Express in EUR,"6.842,00 €",Denmark,yyy,USD,EUR,6842.0,"8,513.67",-0.1963512797653656,0.0
VISA: Debit/Credit in DOP,"$407,100.00",Dominican Republic,yyy,USD,DOP,407100.0,"498,969.40",-0.18411830464954368,0.0
MasterCard: Debit/Credit in DOP,"$407,100.00",Dominican Republic,yyy,USD,DOP,407100.0,"498,969.40",-0.18411830464954368,0.0
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Dominican Republic,yyy,USD,CAD,10000.0,"12,921.05",-0.22606908881244167,0.0
International Bank Transfer in US Dollars (USD),"$7,879.00",Dominican Republic,yyy,USD,USD,7879.0,10000,0.0,-2121.0
VISA: Debit/Credit in USD,"$8,114.00",Dominican Republic,yyy,USD,USD,8114.0,10000,0.0,-1886.0
MasterCard: Debit/Credit in USD,"$8,114.00",Dominican Republic,yyy,USD,USD,8114.0,10000,0.0,-1886.0
MasterCard: Debit/Credit in USD,"$8,113.00",Ecuador,yyy,USD,USD,8113.0,10000,0.0,-1887.0
VISA: Debit/Credit in USD,"$8,113.00",Ecuador,yyy,USD,USD,8113.0,10000,0.0,-1887.0
