0,1,2,3,4,5,6,7,8,9,,
Visa: Debit/Credit in BHD,"?.?3,066.000",Bahrain,yyy,USD,BHD,3066,"3,760.00",-0.184574468,0,2914.728682,0.051898936
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bahrain,yyy,USD,CAD,10000,"12,922.22",-0.226139162,0,10017.22481,-0.001719519
International Bank Transfer in US Dollars (USD),"$7,874.00",Bahrain,yyy,USD,USD,7874,10000,0,-2126,7751.937984,0.015746
VISA: Debit/Credit in BDT,"?683,780.00",Bangladesh,yyy,USD,BDT,683780,"8,38,773.51",-0.184785891,0,650212.0233,0.051626201
MasterCard: Debit/Credit in BDT,"?683,780.00",Bangladesh,yyy,USD,BDT,683780,"8,38,773.51",-0.184785891,0,650212.0233,0.051626201
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bangladesh,yyy,USD,CAD,10000,"12,922.94",-0.226182277,0,10017.78295,-0.001775138
International Bank Transfer in US Dollars (USD),"$7,877.00",Bangladesh,yyy,USD,USD,7877,10000,0,-2123,7751.937984,0.016133
VISA: Debit/Credit in BBD,"16,309.00 $",Barbados,yyy,USD,BBD,16309,"20,000.00",-0.18455,0,15503.87597,0.0519305
MasterCard: Debit/Credit in BBD,"16,309.00 $",Barbados,yyy,USD,BBD,16309,"20,000.00",-0.18455,0,15503.87597,0.0519305
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Barbados,yyy,USD,CAD,10000,"12,922.94",-0.226182277,0,10017.78295,-0.001775138
International Bank Transfer in US Dollars (USD),"$7,876.00",Barbados,yyy,USD,USD,7876,10000,0,-2124,7751.937984,0.016004
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Belarus,yyy,USD,CAD,10000,"12,922.94",-0.226182277,0,10017.78295,-0.001775138
International Bank Transfer in US Dollars (USD),"$7,876.00",Belarus,yyy,USD,USD,7876,10000,0,-2124,7751.937984,0.016004
Domestic Bank Transfer in Euros (EUR),"6.773,00 €",Belgium,yyy,USD,EUR,6773,"8,513.67",-0.204455893,0,6599.744186,0.026251898
VISA: Debit/Credit in EUR,"6.838,00 €",Belgium,yyy,USD,EUR,6838,"8,513.67",-0.196821112,0,6599.744186,0.036100765
MasterCard: Debit/Credit in EUR,"6.838,00 €",Belgium,yyy,USD,EUR,6838,"8,513.67",-0.196821112,0,6599.744186,0.036100765
American Express in EUR,"6.838,00 €",Belgium,yyy,USD,EUR,6838,"8,513.67",-0.196821112,0,6599.744186,0.036100765
PayPal in EUR,"6.904,00 €",Belgium,yyy,USD,EUR,6904,"8,513.67",-0.189068874,0,6599.744186,0.046101153
Online Bank Transfer,"6.773,00 €",Belgium,yyy,USD,EUR,6773,"8,513.67",-0.204455893,0,6599.744186,0.026251898
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Belgium,yyy,USD,CAD,10000,"12,919.54",-0.225978634,0,10015.14729,-0.001512438
International Bank Transfer in US Dollars (USD),"$7,876.00",Belgium,yyy,USD,USD,7876,10000,0,-2124,7751.937984,0.016004
Debit/Credit Card in BTN,"589,420.00 Nu",Bhutan,yyy,USD,BTN,589420,"7,22,729.64",-0.184452986,0,560255.5349,0.052055648
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bhutan,yyy,USD,CAD,10000,"12,919.54",-0.225978634,0,10015.14729,-0.001512438
International Bank Transfer in US Dollars (USD),"$7,876.00",Bhutan,yyy,USD,USD,7876,10000,0,-2124,7751.937984,0.016004
Mastercard: Debit/Credit in BOB,"Bs56,222.00",Bolivia,yyy,USD,BOB,56222,"68,969.79",-0.184831504,0,53464.95349,0.05156736
VISA: Debit/Credit in BOB,"Bs56,222.00",Bolivia,yyy,USD,BOB,56222,"68,969.79",-0.184831504,0,53464.95349,0.05156736
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bolivia,yyy,USD,CAD,10000,"12,917.81",-0.225874974,0,10013.8062,-0.001378717
