0,1,2,3,4,5,6,7,8,9
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in EUR,"8.935,00 €",Belarus,yyy,USD,EUR,8935.0,"8,522.39",0.048414822602579864,0.0
VISA: Debit/Credit in EUR,"8.935,00 €",Belarus,yyy,USD,EUR,8935.0,"8,522.39",0.048414822602579864,0.0
Domestic Bank Transfer in Euros (EUR),"8.692,00 €",Belgium,yyy,USD,EUR,8692.0,"8,522.39",0.019901694243046913,0.0
VISA: Debit/Credit in EUR,"8.850,00 €",Belgium,yyy,USD,EUR,8850.0,"8,522.39",0.03844109457558274,0.0
MasterCard: Debit/Credit in EUR,"8.850,00 €",Belgium,yyy,USD,EUR,8850.0,"8,522.39",0.03844109457558274,0.0
American Express in EUR,"8.850,00 €",Belgium,yyy,USD,EUR,8850.0,"8,522.39",0.03844109457558274,0.0
PayPal in EUR,"8.935,00 €",Belgium,yyy,USD,EUR,8935.0,"8,522.39",0.048414822602579864,0.0
Online Bank Transfer,"8.765,00 €",Belgium,yyy,USD,EUR,8765.0,"8,522.39",0.02846736654858562,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Belgium,yyy,USD,USD,10030.0,10000,0.0,30.0
Debit/Credit Card in BTN,"762,130.00 Nu",Bhutan,yyy,USD,BTN,762130.0,"723,263.05",0.053738332132410124,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,yyy,USD,USD,10000.0,10000,0.0,0.0
Mastercard: Debit/Credit in BOB,"Bs72,634.00",Bolivia,yyy,USD,BOB,72634.0,"68,929.58",0.053742094468006305,0.0
VISA: Debit/Credit in BOB,"Bs72,634.00",Bolivia,yyy,USD,BOB,72634.0,"68,929.58",0.053742094468006305,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bolivia,yyy,USD,USD,10000.0,10000,0.0,0.0
VISA: Debit/Credit in BAM,"17,570.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,17570.0,"16,673.36",0.05377680323582046,0.0
MasterCard: Debit/Credit in BAM,"17,570.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,17570.0,"16,673.36",0.05377680323582046,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.767,00 €",Bosnia and Herzegovina,yyy,USD,EUR,8767.0,"8,522.39",0.02870204250216202,0.0
Mastercard: Debit/Credit in BWP,"P112,000.00",Botswana,yyy,USD,BWP,112000.0,"106,270.00",0.05391926225651642,0.0
VISA: Debit/Credit in BWP,"P112,000.00",Botswana,yyy,USD,BWP,112000.0,"106,270.00",0.05391926225651642,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in South African Rand (ZAR),"R147,924.00",Botswana,yyy,USD,ZAR,147924.0,"143,633.80",0.029869014117846995,0.0
International Bank Transfer in British Pounds (GBP),"£7,875.00",Botswana,yyy,USD,GBP,7875.0,"7,655.95",0.028611733357715264,0.0
Pagamento com Débito em Conta,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,555.57",0.12845165288023322,0.0
Cartão de Crédito/Débito em Reais,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,555.57",0.12845165288023322,0.0
Boleto,"R$45.003,00",Brazil,yyy,USD,BRL,45003.0,"40,555.57",0.10966261847632768,0.0
Pagamento Parcelado via Cartão de Crédito em Reais,"R$45.765,00",Brazil,yyy,USD,BRL,45765.0,"40,555.57",0.12845165288023322,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Brazil,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in Euros (EUR),"8.767,00 €",Brazil,yyy,USD,EUR,8767.0,"8,522.39",0.02870204250216202,0.0
International Bank Transfer in British Pounds (GBP),"£7,875.00",Brazil,yyy,USD,GBP,7875.0,"7,656.84",0.02849217170529877,0.0
MasterCard: Debit/Credit in BND,"$14,400.00",Brunei Darussalam,yyy,USD,BND,14400.0,"13,662.79",0.053957500627616985,0.0
VISA: Debit/Credit in BND,"$14,400.00",Brunei Darussalam,yyy,USD,BND,14400.0,"13,662.79",0.053957500627616985,0.0
MasterCard: Debit/Credit in SGD,"S$14,322.00",Brunei Darussalam,yyy,USD,SGD,14322.0,"13,662.79",0.04824856416588406,0.0
VISA: Debit/Credit in SGD,"S$14,322.00",Brunei Darussalam,yyy,USD,SGD,14322.0,"13,662.79",0.04824856416588406,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in BGN,"??17,563.00",Bulgaria,yyy,USD,BGN,17563.0,"16,666.78",0.05377283434472653,0.0
VISA: Debit/Credit in BGN,"??17,563.00",Bulgaria,yyy,USD,BGN,17563.0,"16,666.78",0.05377283434472653,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,yyy,USD,USD,10000.0,10000,0.0,0.0
International Bank Transfer in British Pounds (GBP),"£7,874.00",Bulgaria,yyy,USD,GBP,7874.0,"7,656.84",0.028361569524764766,0.0
International Bank Transfer in Euros (EUR),"8.763,00 €",Bulgaria,yyy,USD,EUR,8763.0,"8,522.39",0.028232690595009217,0.0
Debit/Credit Card in BIF,"18,581,000.00 FBu",Burundi,yyy,USD,BIF,18581000.0,"17,632,735.46",0.05377864042429178,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Burundi,yyy,USD,USD,10000.0,10000,0.0,0.0
Debit/Credit Card in KHR,"43,183,000.00 ?",Cambodia,yyy,USD,KHR,43183000.0,"40,980,496.53",0.05374516310185856,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,yyy,USD,USD,10000.0,10000,0.0,0.0
MasterCard: Debit/Credit in XAF,"5,890,200.00 Fr",Cameroon,yyy,USD,XAF,5890200.0,"5,589,796.06",0.05374148480114683,0.0
VISA: Debit/Credit in XAF,"5,890,200.00 Fr",Cameroon,yyy,USD,XAF,5890200.0,"5,589,796.06",0.05374148480114683,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,yyy,USD,USD,10000.0,10000,0.0,0.0
Bank Transfer in Canadian Dollars,"$13,262.00",Canada,yyy,USD,CAD,13262.0,"12,930.09",0.02566958157290474,0.0
Online Bill Pay,"$13,262.00",Canada,yyy,USD,CAD,13262.0,"12,930.09",0.02566958157290474,0.0
MasterCard: Debit/Credit in CAD,"$13,554.00",Canada,yyy,USD,CAD,13554.0,"12,930.09",0.048252564367301375,0.0
VISA: Debit/Credit in CAD,"$13,554.00",Canada,yyy,USD,CAD,13554.0,"12,930.09",0.048252564367301375,0.0
American Express in CAD,"$13,554.00",Canada,yyy,USD,CAD,13554.0,"12,930.09",0.048252564367301375,0.0
PayPal in CAD,"$13,469.00",Canada,yyy,USD,CAD,13469.0,"12,930.09",0.04167875088263112,0.0
International Bank Transfer in US Dollars (USD),"$10,030.00",Canada,yyy,USD,USD,10030.0,10000,0.0,30.0
MasterCard: Debit/Credit in XAF,"5,890,200.00 Fr",Central African Republic,yyy,USD,XAF,5890200.0,"5,590,833.86",0.0535458837619617,0.0
VISA: Debit/Credit in XAF,"5,890,200.00 Fr",Central African Republic,yyy,USD,XAF,5890200.0,"5,590,833.86",0.0535458837619617,0.0
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,yyy,USD,USD,10000.0,10000,0.0,0.0
