International Bank Transfer in US Dollars (USD),"$10,000.00",Benin,Northern Illinois University receives
VISA: Debit/Credit in BMD,"$10,538.00",Bermuda,Northern Illinois University receives
Mastercard: Debit/Credit in BMD,"$10,538.00",Bermuda,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bermuda,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bhutan,Northern Illinois University receives
VISA: Debit/Credit in BOB,"Bs73,025.00","Bolivia, Plurinational State of",Northern Illinois University receives
Mastercard: Debit/Credit in BOB,"Bs73,025.00","Bolivia, Plurinational State of",Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bolivia, Plurinational State of",Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Bonaire, Saint Eustatius and Saba",Northern Illinois University receives
,,"Bonaire, Saint Eustatius and Saba",Northern Illinois University receives
VISA: Debit/Credit in BAM,"17,633.00 KM",Bosnia and Herzegovina,Northern Illinois University receives
MasterCard: Debit/Credit in BAM,"17,633.00 KM",Bosnia and Herzegovina,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bosnia and Herzegovina,Northern Illinois University receives
International Bank Transfer in Euros (EUR),"8.798,00 €",Bosnia and Herzegovina,Northern Illinois University receives
Mastercard: Debit/Credit in BWP,"P109,700.00",Botswana,Northern Illinois University receives
VISA: Debit/Credit in BWP,"P109,700.00",Botswana,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,Northern Illinois University receives
International Bank Transfer in South African Rand (ZAR),"R141,369.00",Botswana,Northern Illinois University receives
International Bank Transfer in British Pounds (GBP),"£7,786.00",Botswana,Northern Illinois University receives
International Bank Transfer in Norwegian Krone (NOK),"kr82.298,00",Bouvet Island,Northern Illinois University receives
MasterCard: Debit/Credit in NOK,"kr84.588,00",Bouvet Island,Northern Illinois University receives
VISA: Debit/Credit in NOK,"kr84.588,00",Bouvet Island,Northern Illinois University receives
,,Bouvet Island,Northern Illinois University receives
Cartão de Crédito/Débito em Reais,"R$43.760,00",Brazil,Northern Illinois University receives
Boleto,"R$43.030,00",Brazil,Northern Illinois University receives
Pagamento com Débito em Conta,"R$43.760,00",Brazil,Northern Illinois University receives
Pagamento Parcelado via Cartão de Crédito em Reais,"R$43.760,00",Brazil,Northern Illinois University receives
,,Brazil,Northern Illinois University receives
,,Brazil,Northern Illinois University receives
,,Brazil,Northern Illinois University receives
MasterCard: Debit/Credit in BND,"$14,400.00",Brunei Darussalam,Northern Illinois University receives
VISA: Debit/Credit in BND,"$14,400.00",Brunei Darussalam,Northern Illinois University receives
MasterCard: Debit/Credit in SGD,"S$14,285.00",Brunei Darussalam,Northern Illinois University receives
VISA: Debit/Credit in SGD,"S$14,285.00",Brunei Darussalam,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,Northern Illinois University receives
VISA: Debit/Credit in BGN,"??17,633.00",Bulgaria,Northern Illinois University receives
MasterCard: Debit/Credit in BGN,"??17,633.00",Bulgaria,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,Northern Illinois University receives
International Bank Transfer in British Pounds (GBP),"£7,786.00",Bulgaria,Northern Illinois University receives
International Bank Transfer in Euros (EUR),"8.798,00 €",Bulgaria,Northern Illinois University receives
American Express in EUR,"8.883,00 €",Bulgaria,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burkina Faso,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Burundi,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,Northern Illinois University receives
MasterCard: Debit/Credit in XAF,"5,913,700.00 Fr",Cameroon,Northern Illinois University receives
VISA: Debit/Credit in XAF,"5,913,700.00 Fr",Cameroon,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,Northern Illinois University receives
Bank Transfer in Canadian Dollars,"$13,478.00",Canada,Northern Illinois University receives
VISA: Debit/Credit in CAD,"$13,775.00",Canada,Northern Illinois University receives
