Terms,http://www.xe.com/legal/dfs.php,Privacy,http://www.xe.com/privacy.php
from,amount,timestamp,quotecurrency,mid
CAD,5000.0,2018-08-21T00:00:00Z,FJD,8110.9551782538
CAD,5000.0,2018-08-21T00:00:00Z,MXN,72885.8575382747
CAD,5000.0,2018-08-21T00:00:00Z,STD,8.134348470305623E7
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,SCR,52130.7477245824
CAD,5000.0,2018-08-21T00:00:00Z,TVD,5225.8292847631
CAD,5000.0,2018-08-21T00:00:00Z,CDF,6175386.933163304
CAD,5000.0,2018-08-21T00:00:00Z,BBD,7667.6241808307
CAD,5000.0,2018-08-21T00:00:00Z,HNL,92048.8470972712
CAD,5000.0,2018-08-21T00:00:00Z,UGX,1.437852689903664E7
CAD,5000.0,2018-08-21T00:00:00Z,ZAR,55649.4523249694
CAD,5000.0,2018-08-21T00:00:00Z,STN,81343.4847030562
CAD,5000.0,2018-08-21T00:00:00Z,CUC,3833.8120904153
CAD,5000.0,2018-08-21T00:00:00Z,BSD,3833.8120904153
CAD,5000.0,2018-08-21T00:00:00Z,SDG,69115.6304144805
CAD,5000.0,2018-08-21T00:00:00Z,SDG,69115.6304144805
CAD,5000.0,2018-08-21T00:00:00Z,IQD,4564500.064788191
CAD,5000.0,2018-08-21T00:00:00Z,CUP,101596.0203960066
CAD,5000.0,2018-08-21T00:00:00Z,GMD,184377.9860319222
CAD,5000.0,2018-08-21T00:00:00Z,TWD,117842.1760687414
CAD,5000.0,2018-08-21T00:00:00Z,RSD,393929.5053874443
CAD,5000.0,2018-08-21T00:00:00Z,MYR,15715.4393701605
CAD,5000.0,2018-08-21T00:00:00Z,FKP,2994.1635338139
CAD,5000.0,2018-08-21T00:00:00Z,XOF,2188433.6196801164
CAD,5000.0,2018-08-21T00:00:00Z,UYU,120715.5025437938
CAD,5000.0,2018-08-21T00:00:00Z,CVE,367887.7963679425
CAD,5000.0,2018-08-21T00:00:00Z,OMR,1474.1007487647
CAD,5000.0,2018-08-21T00:00:00Z,KES,386671.2035143107
CAD,5000.0,2018-08-21T00:00:00Z,SEK,35071.3813762571
CAD,5000.0,2018-08-21T00:00:00Z,BTN,267529.7334235478
CAD,5000.0,2018-08-21T00:00:00Z,GNF,3.482089000895465E7
CAD,5000.0,2018-08-21T00:00:00Z,MZN,228725.7085808521
CAD,5000.0,2018-08-21T00:00:00Z,MZN,228725.7085808521
CAD,5000.0,2018-08-21T00:00:00Z,SVC,33545.8557911343
CAD,5000.0,2018-08-21T00:00:00Z,ARS,114461.2904494479
CAD,5000.0,2018-08-21T00:00:00Z,QAR,13955.0760091118
CAD,5000.0,2018-08-21T00:00:00Z,IRR,1.6031207079011956E8
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,XPD,4.1784681919
CAD,5000.0,2018-08-21T00:00:00Z,THB,126293.3304744328
CAD,5000.0,2018-08-21T00:00:00Z,UZS,2.9898228539961297E7
CAD,5000.0,2018-08-21T00:00:00Z,XPF,398119.993566016
CAD,5000.0,2018-08-21T00:00:00Z,BDT,321564.948081632
CAD,5000.0,2018-08-21T00:00:00Z,LYD,5301.0777368486
CAD,5000.0,2018-08-21T00:00:00Z,KWD,1162.9740157525
CAD,5000.0,2018-08-21T00:00:00Z,XPT,4.8232731037
CAD,5000.0,2018-08-21T00:00:00Z,RUB,256830.8900157088
CAD,5000.0,2018-08-21T00:00:00Z,ISK,414422.9311118527
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,MKD,205138.1994361683
CAD,5000.0,2018-08-21T00:00:00Z,DZD,456266.9419807362
CAD,5000.0,2018-08-21T00:00:00Z,PAB,3833.8120904153
CAD,5000.0,2018-08-21T00:00:00Z,SGD,5248.6833710504
CAD,5000.0,2018-08-21T00:00:00Z,JEP,2994.1635338139
CAD,5000.0,2018-08-21T00:00:00Z,KGS,266279.1846751613
CAD,5000.0,2018-08-21T00:00:00Z,XAF,2188433.6196801164
CAD,5000.0,2018-08-21T00:00:00Z,XAG,259.5318272694
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,CHF,3797.2347941826
CAD,5000.0,2018-08-21T00:00:00Z,HRK,24769.4263761243
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,DJF,682395.4181698668
CAD,5000.0,2018-08-21T00:00:00Z,TZS,8755708.646682171
CAD,5000.0,2018-08-21T00:00:00Z,VND,8.948694233439015E7
CAD,5000.0,2018-08-21T00:00:00Z,XAU,3.2182302375
CAD,5000.0,2018-08-21T00:00:00Z,AUD,5225.8292847631
CAD,5000.0,2018-08-21T00:00:00Z,KHR,1.5601603835789872E7
CAD,5000.0,2018-08-21T00:00:00Z,IDR,5.5862432761801384E7
CAD,5000.0,2018-08-21T00:00:00Z,KYD,3143.7257881829
CAD,5000.0,2018-08-21T00:00:00Z,BWP,41280.4468442708
CAD,5000.0,2018-08-21T00:00:00Z,SHP,2994.1635338139
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,TJS,36114.560144583
CAD,5000.0,2018-08-21T00:00:00Z,RWF,3315151.5267413515
CAD,5000.0,2018-08-21T00:00:00Z,DKK,24882.4383788582
CAD,5000.0,2018-08-21T00:00:00Z,BGN,6525.1291264198
CAD,5000.0,2018-08-21T00:00:00Z,MMK,5811771.795836587
CAD,5000.0,2018-08-21T00:00:00Z,NOK,32352.094766309
CAD,5000.0,2018-08-21T00:00:00Z,SYP,1974475.0112441622
CAD,5000.0,2018-08-21T00:00:00Z,XBT,0.6107679238
CAD,5000.0,2018-08-21T00:00:00Z,LKR,615354.6269009026
CAD,5000.0,2018-08-21T00:00:00Z,CZK,85899.6576407916
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,XCD,10360.7642293992
CAD,5000.0,2018-08-21T00:00:00Z,HTG,259256.707331983
CAD,5000.0,2018-08-21T00:00:00Z,BHD,1441.5133459962
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,EUR,3336.2455460954
CAD,5000.0,2018-08-21T00:00:00Z,KZT,1384297.3612341336
CAD,5000.0,2018-08-21T00:00:00Z,SZL,55649.4523249694
CAD,5000.0,2018-08-21T00:00:00Z,YER,959356.9979388482
